SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/8/2022","811e3118-5380-5ee8-a5d9-01d48d0a0627","Azure Purview","Azure Purview Scanning Ingestion and Classification","All","Standard vCore","2.397525","1.510441"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/10/2022","811e3118-5380-5ee8-a5d9-01d48d0a0627","Azure Purview","Azure Purview Scanning Ingestion and Classification","All","Standard vCore","7.316677","4.609508"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","3/14/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","12.616719","1.251579"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/9/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","0.100002","0.009920"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","6/22/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","16.400008","1.626881"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/9/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","15.783349","1.565708"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/10/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","15","1.488000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/12/2022","f114acac-9abc-4968-becc-01d9465866eb","Virtual Machines","BS Series Windows","EU North","B2ms","15.850017","1.572322"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","3/30/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","9E-06","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","3/31/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","2.4E-05","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/1/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","4.8E-05","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/2/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","4.8E-05","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/3/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","4.8E-05","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/4/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","4.8E-05","0.000000"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","4/5/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","4.8E-05","0.000000"
